Q5,Q7,Q8,Q9,Q15,Q16,Q17,Q20,Q23,Q23_5_TEXT,Q29_1,Q31,Q55,Q35,Q36,Q40_1,Q40_2,Q40_3,Q41_23,Q42_1,Q42_2,Q42_3,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_11_TEXT,Q47_1,Q47_2
Arts & Humanities,Man,White,25+,Yes,Polling station,3rd party,"Sad,Angry,Other",Community engagement,,1,No; I did not check,Only Democrats,Yes,Yes,Neutral,Strongly agree,Somewhat disagree,2,Every day,Every day,Never,Very important,Important,Important,Important,Moderately important,Important,Important,Important,Important,Important,Important,dismantling of political norms in the US,Very knowledgeable,Extremely knowledgeable
Physical Sciences/Mathematics,Man,White,19,,,,Angry,Community engagement,,,No; I did not check,Only Democrats,No,No,Strongly agree,Somewhat agree,Neutral,4,Every couple of days,Every couple of days,Once or twice a month,Very important,Important,Moderately important,Important,Important,Important,Important,Important,Important,Slightly important,,,Moderately knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Man,White,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Voting,,,No; I did not check,Only Democrats,I do not remember,No,Somewhat agree,Strongly agree,Somewhat disagree,2,Every day,Every day,Once or twice a month,Very important,Very important,Very important,Important,Moderately important,Very important,Important,Moderately important,Important,Very important,,,Very knowledgeable,Very knowledgeable
Arts & Humanities,Woman,Asian,18,,,,Sad,Volunteering,,2,No; I do not know how,Mostly Democrats,Yes,No,Strongly agree,Strongly agree,Strongly agree,4,Once a week,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,Not knowledgeable at all,Not knowledgeable at all
Life Sciences,Man,Other,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Voting,,,Yes; it was counted,Only Democrats,No,No,Somewhat agree,Somewhat agree,Strongly disagree,1,Every couple of days,Every couple of days,Once a week,Important,Important,Important,Slightly important,Moderately important,Very important,Very important,Very important,Very important,Important,,,Slightly knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,Asian,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,1,Yes; it was counted,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Neutral,3,Every day,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Man,Asian,20,,,,Sad,Voting,,1,No; I did not check,Only Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat agree,3,Once or twice a month,Once a week,Once or twice a month,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,Mixed Race,19,,,,Other,Volunteering,,,No; I do not know how,Only Democrats,I do not remember,No,Strongly agree,Somewhat disagree,Strongly disagree,3,Every couple of days,Every day,Once or twice a year,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Moderately knowledgeable
Life Sciences,Woman,White,19,,,,Sad,Other,Destroying this fucking imperialist bullshit,,,,I do not remember,Yes,Somewhat disagree,,Strongly disagree,,Every day,Every day,Every day,Very important,Very important,Moderately important,Very important,Very important,Important,Important,Very important,Very important,Very important,Very important,,,
Life Sciences,Woman,Asian,20,Yes,Absentee / mail ballot,Clinton,Sad,Community engagement,,,,,Yes,Yes,Strongly agree,Somewhat agree,Somewhat disagree,5,Once a week,Once or twice a month,Never,Very important,Moderately important,Important,Very important,Important,Very important,Very important,Very important,Very important,Important,Important,Supreme Court Appointment ,Slightly knowledgeable,Slightly knowledgeable
Life Sciences,Gender queer,Mixed Race,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Somewhat agree,Somewhat disagree,2,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Not important,,Slightly knowledgeable,Slightly knowledgeable
Arts & Humanities,Woman,White,18,,,,Sad,Community engagement,,,,,Yes,No,Strongly agree,Somewhat agree,Strongly agree,3,Once or twice a year,Once or twice a month,Once or twice a month,Very important,Important,Important,Moderately important,Moderately important,Important,Slightly important,Moderately important,Very important,Very important,Slightly important,,Not knowledgeable at all,Not knowledgeable at all
Engineering/Computer Science,Man,Asian,21,Yes,Absentee / mail ballot,Clinton,Scared,Community engagement,,,No; I did not check,Mostly Democrats,I do not remember,I do not remember,Somewhat agree,Somewhat disagree,Strongly disagree,4,Once or twice a month,Every couple of days,Never,,,,,,,,,,,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,White,20,Yes,Absentee / mail ballot,3rd party,Sad,Volunteering,,,No; I did not check,Mostly Democrats,No,No,Strongly agree,Somewhat agree,Somewhat agree,3,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Other",Volunteering,,,Yes; it was counted,Mostly Democrats,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,3,Every couple of days,Once a week,Never,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Animal Welfare,Very knowledgeable,Very knowledgeable
Arts & Humanities,Woman,Asian,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared",Community engagement,,,No; I do not know how,Only Democrats,I do not remember,No,Neutral,Neutral,Somewhat disagree,3,Once or twice a month,Once a week,Never,Important,Very important,Very important,Very important,Moderately important,Important,Very important,Slightly important,Important,Very important,Not important,,Slightly knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Woman,Mexican American/Chicanx,19,,,,"Sad,Scared,Angry",Voting,,2,No; I did not check,Mostly Democrats,I do not remember,No,Neutral,Neutral,Neutral,5,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,White,21,Yes,Absentee / mail ballot,3rd party,"Sad,Scared,Angry",Volunteering,,,No; I do not know how,Only Democrats,I do not remember,No,Neutral,Somewhat agree,Somewhat disagree,2,Every couple of days,Every couple of days,Once or twice a month,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Slightly knowledgeable,Very knowledgeable
Social Sciences,Woman,White,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Other,ACTIVISM/PROTEST MOVEMENTS,1,No; I did not check,A mix of candidates,No,No,Somewhat agree,Somewhat agree,Somewhat agree,1,Every day,Every day,Never,Very important,Very important,Very important,Very important,Important,Very important,Important,Very important,Very important,Very important,Moderately important,,Very knowledgeable,Extremely knowledgeable
Business,Man,Asian,19,,,,Sad,Voting,,4,No; I do not know how,Mostly Democrats,Yes,No,Strongly agree,Strongly disagree,Strongly disagree,4,Once a week,Every day,Once or twice a year,Very important,Moderately important,Moderately important,Not important,Important,Important,Very important,Important,Moderately important,Moderately important,Not important,,Moderately knowledgeable,Slightly knowledgeable
Social Sciences,Woman,Asian,20,Yes,Polling station,3rd party,"Sad,Scared,Angry",Community engagement,,1,,,No,No,Somewhat agree,Somewhat disagree,Somewhat disagree,9,Once or twice a month,Once a week,Never,Important,Moderately important,Very important,Important,Moderately important,Very important,Very important,Very important,Very important,Moderately important,,,Slightly knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,Asian,19,,,,"Scared,Angry",Community engagement,,2,,,I do not remember,No,Somewhat agree,Strongly agree,Strongly agree,4,Once or twice a month,Once a week,Once or twice a year,Important,Important,Important,Moderately important,Moderately important,Important,Important,Very important,Very important,Very important,,,Slightly knowledgeable,Not knowledgeable at all
Engineering/Computer Science,Man,Asian,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared",Community engagement,,,No; I do not know how,Mostly Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat disagree,2,Once a week,Every couple of days,Once or twice a year,Moderately important,Very important,Important,Important,Slightly important,Moderately important,Moderately important,Very important,Very important,Very important,Moderately important,,Very knowledgeable,Very knowledgeable
Life Sciences,Woman,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Angry",Community engagement,,4,Yes; it was counted,Mostly Democrats,No,No,Strongly agree,Strongly agree,Strongly agree,4,Once a week,Every day,Once or twice a month,Important,Very important,Very important,Important,Very important,Important,Very important,Moderately important,Important,Important,Not important,,Very knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Asian,19,,,,Happy,Community engagement,,,,,No,No,Neutral,Strongly agree,Somewhat agree,5,Never,Never,Never,Slightly important,Important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Not important,,Not knowledgeable at all,Not knowledgeable at all
Life Sciences,Woman,Asian,19,,,,"Sad,Scared",Community engagement,,,No; I did not check,Mostly Democrats,No,No,Strongly agree,Neutral,Somewhat agree,3,Never,Once or twice a month,Once or twice a year,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Important,Important,Important,Moderately important,Moderately important,,,Moderately knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Woman,Mexican American/Chicanx,19,,,,Hopeful,Community engagement,,3,Yes; it was counted,Only Democrats,Yes,No,Neutral,Neutral,Neutral,3,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Very important,Moderately important,Important,Important,Important,Very important,Important,Slightly important,,Slightly knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Woman,Mixed Race,19,,,,"Sad,Angry",Community engagement,,3,Yes; it was not counted,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,3,Once a week,Every couple of days,Never,Very important,Very important,Moderately important,Important,Very important,Very important,Important,Very important,Very important,Very important,Not important,,Not knowledgeable at all,Not knowledgeable at all
